id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Synthesize Dreams,Pulse Collective,electronic,uplifting,0.88,135,0.79,0.85,0.12
12,Rhythm Breaker,Cipher Crew,hip-hop,playful,0.65,98,0.72,0.77,0.35
13,Moonlight Sonata,Strings & Keys,classical,melancholic,0.25,65,0.42,0.15,0.95
14,Velvet Night,Sin City Souls,soul,romantic,0.60,95,0.75,0.68,0.68
15,Thunder Metal,Iron Fists,metal,aggressive,0.96,165,0.35,0.72,0.08
16,Dusty Roads Home,Buck & Holler,country,sad,0.48,88,0.38,0.52,0.78
17,Whispers in the Woods,Acoustic Wanderers,folk,melancholic,0.35,82,0.45,0.48,0.88
18,One Love Reggae,Island Vibes,reggae,uplifting,0.70,105,0.81,0.75,0.65
19,Digital Sunrise,Neon Pulse,electronic,energetic,0.92,142,0.85,0.88,0.10
20,Rebel Heart,Static Echo,alternative,moody,0.73,115,0.52,0.71,0.28
